Subject	IGHV1-7	IGHV1-10	IGHV1-14	IGHV1-17	IGHV1-20	IGHV1-21	IGHV1-27	IGHV1-30	IGHV1-7UL	FracULGlobal	PreVacc	InitialVacc	BoosterVacc	BoosterResponseVacc
14167	0.0673537236595	0.061114352952	0.0675879040091	0.274706026881	0.354192020209	0.171276052564	0.143398033653	0.0585719605502	29.34970376	0.01365511421	4.83	3.66	2.5	4.5
14169	0.0809758069951	0.312601314717	0.332175042425	0.137231741909	0.114989370761	0.0800286713758	0.0222852556837	0.0560427375038	64.44474871	0.03598095456	4.5	4.5	3.5	3.33
14171	0.0984770726769	0.0970237034901	0.0759413675808	0.231286457936	0.319232259141	0.171904733629	0.183031207852	0.0729130438471	38.46835381	0.02529486997	5.5	4.16	1.83	0.0
14173	0.0729534353631	0.314606317161	0.211654835558	0.136966460436	0.165280364702	0.114700097688	0.118300227939	0.0306193422338	47.46867252	0.02370964716	3.16	2.16	2.16	5.16
14175	0.0599316756367	0.167766446711	0.266377710373	0.187666692014	0.209887599945	0.122840220688	0.0746019810122	0.101768378719	34.43002665	0.01389953236	3.5	2.66	0.0	4.5
14177	0.0606073616399	0.0977765981737	0.0821388216146	0.225622691071	0.305446973437	0.159322655748	0.177581365032	0.0802243502799	25.33722854	0.01078575629	2.83	2.16	3.5	8.5
14179	0.150859026203	0.112898249223	0.201194455483	0.0963254715879	0.189595848624	0.207080245904	0.162607232183	0.037423155139	43.51225899	0.04624896065	3.83	3.66	4.5	5.5
14181	0.108249486612	0.142698001158	0.20663955028	0.124624374618	0.204377869223	0.231361448744	0.183358705391	0.0502446024912	49.68352604	0.03503874669	3.5	4.16	2.16	2.83
14183	0.0461653282078	0.148637941346	0.221103857931	0.222997807006	0.230159541567	0.117534747959	0.0838219432275	0.084782975417	20.50716934	0.006316754222	3.83	3.83	0.0	5.16
14185	0.0563140271193	0.269321685509	0.218829360475	0.136788449425	0.177076219209	0.140881212081	0.115669860425	0.0428040977356	41.63030999	0.01686519561	2.5	2.5	3.83	5.16
14193	0.0364928940279	0.39072928198	0.182859921806	0.113851686429	0.154871158264	0.101302174984	0.0821016528344	0.0266821093315	40.66096245	0.01068606309	0.0	0.0	0.0	5.16
